year,verbo_texto,verbo_lema,contexto_oracional,cluster
1621,Consta,constar,Consta la lista de la compañía de Juan Bautista Valenciano Esta compañía es para representar el Corpus de este año en Sevilla Entre cuyos miembros figura Cosme Pérez como bailarín y representante,-1
1621,representar,representar,Consta la lista de la compañía de Juan Bautista Valenciano Esta compañía es para representar el Corpus de este año en Sevilla Entre cuyos miembros figura Cosme Pérez como bailarín y representante,-1
1621,figura,figurar,Consta la lista de la compañía de Juan Bautista Valenciano Esta compañía es para representar el Corpus de este año en Sevilla Entre cuyos miembros figura Cosme Pérez como bailarín y representante,-1
1653,gozar,gozar,desde luego y que Francisca María Pérez no pueda gozar la ración ordinaria si hubiese de andar en la farsa,-1
1653,andar,andar,desde luego y que Francisca María Pérez no pueda gozar la ración ordinaria si hubiese de andar en la farsa,-1
1660,representó,representar,Según Urzáiz este año Cosme Pérez representó junto con Bernarda Ramírez la Quiñones María Quiñones y la Borja María Borja El baile perdido de Antonio de Solís,-1
1663,murió,morir,Según Cotarelo el de septiembre Catalina Ramos hija de Juan Ramos y sobrina de Cosme Pérez comediante murió en la calle de Cantarranas donde vivía con su tío Cosme Pérez,-1
1663,vivía,vivir,Según Cotarelo el de septiembre Catalina Ramos hija de Juan Ramos y sobrina de Cosme Pérez comediante murió en la calle de Cantarranas donde vivía con su tío Cosme Pérez,-1
