entity_cluster_id,cluster_entities,representative_entity,cluster_type
1,"[np.str_('cuando Juan Rana'), np.str_('el Retiro durante la fiesta de San Juan de ese año'), np.str_('se hizo en el Palacio de la Zarzuela con motivo de una ""Fiesta que se'), np.str_('palacio y M'), np.str_('muerte de Bernarda Ramírez, mujer de Sebastián de Prado, se había producido el 24 de octubre de 1662 y se sabe por un testimonio del 17 de diciembre de 1662 que Sebastián de Prado estaba encarcelado y por ello no podría participar en la fiesta palaciega que había de tener lugar cinco días después'), np.str_('los últimos versos se hace mención del objeto de la fiesta, que era festejar el nombre de Ana'), np.str_('Que la compañía de Pedro de la Rosa'), np.str_('palacio la comedia de Calderón Darlo todo y no dar nada, con una loa de Antonio de Solís,'), np.str_('entremés El infierno de Juan Rana, en el que la actriz Bernarda Ramírez, célebre por imitar la figura de Juan Rana, interpretó el papel del ""Alma"" de este actor, quien también intervino en la representación—'), np.str_('en la que Cosme Pérez'), np.str_('el Retiro el día de San Juan —probablemente el 23 de junio, noche de San Juan— la obra La restauración de España —también titulada La renegada de Valladolid, según Lobato—'), np.str_('el Salón del Buen Retiro el día de San Juan, año de 1655""'), np.str_('el Real Sitio de la Zarzuela por las compañías de Diego Osorio y Pedro de la Rosa'), np.str_(""entremés titulado El niño caballero, del mismo Solís, en el que actuó Juan Rana junto a Bernarda Ramírez, Francisca Bezona, Mariana de Borja 'la Borja', Simón Aguado, Mateo Godoy, Pedro de la Rosa y Tomás de Nájera""), np.str_('sainete Aguardad, supremos dioses del mismo Solís, en el que intervino Juan Rana junto a Bernarda Ramírez, Simón Aguado, Bernarda Manuela, Mariana Borja, Pedro de la Rosa, Mateo Godoy, Diego Osorio y Jerónimo de Heredia'), np.str_('familia real con motivo del nacimiento del príncipe Carlos, el futuro Carlos II'), np.str_('en la que'), np.str_('Reina y al ""Principito""')]",el Real Sitio de la Zarzuela por las compañías de Diego Osorio y Pedro de la Rosa,Persona
2,"[np.str_('Cosme Pérez'), np.str_('Tudela de Duero (Valladolid)'), np.str_('Damián Pérez'), np.str_('Isabel de Basto'), np.str_('Madrid')]",Madrid,Lugar
3,"[np.str_('la representación de la comedia de Lope de Vega Lo que ha de ser'), np.str_('el entremés El ayo de Agustín Moreto, representado con motivo del cumpleaños del rey Felipe IV, quizá, como propone la citada investigadora, en el año 1662, en el que actuaron también Mateo de Godoy y Jerónimo Morales'), np.str_('se'), np.str_('Durante esta misma fiesta se'), np.str_('El martes de Carnaval de este año [9 de febrero] —aunque Lobato por error indica como fecha del representación el año 1656— se'), np.str_('Junto a la comedia de Antonio de Solís Triunfos de Amor y Fortuna se'), np.str_('y también se'), np.str_('También se'), np.str_('A finales de noviembre de este año se'), np.str_('el entremés El ayo de Moreto, representado con motivo del cumpleaños del rey Felipe IV, quizá este año, como propone la citada investigadora, y en el que actuaron también Mateo de Godoy y Jerónimo Morales')]",También se,Persona
4,"[np.str_('un día de mucho frío, según se indica en el primer verso del entremés'), np.str_('esta loa se'), np.str_('sugiere que el entremés se'), np.str_('entremés Las visiones, en el que intervinieron \'Juan Rana\' en el papel de ""Juan Rana"" y Bernarda Ramírez representando el papel de ""Quiteria, mujer de Juan Rana""'), np.str_('comedia Pico y Canente de Luis de Ulloa y Pereira y Rodrigo de Ávila'), np.str_('en la misma carta el escenógrafo italiano da cuenta de que la fiesta se'), np.str_('el Coliseo, donde la fiesta se repitió durante cuatro días, con gran asistencia de público, especialmente para la función que tuvo lugar el lunes de Carnaval')]",comedia Pico y Canente de Luis de Ulloa y Pereira y Rodrigo de Ávila,Persona
5,"[np.str_('el entremés se'), np.str_('La pieza se'), np.str_('Juan Rana también'), np.str_('en el que el actor Cosme Pérez'), np.str_('graciosidad"" en la compañía de Pedro de la Rosa'), np.str_('el Corpus de Sevilla'), np.str_('la compañía de Pedro de la Rosa'), np.str_('Madrid los autos del Corpus [4 de junio] y en la lista de actores presentada a las autoridades figuraba Cosme Pérez, aunque al principio Cosme Pérez parece que no quería representar, según se infiere de la anotación hecha por Pedro de la Rosa al entregar la lista de su compañía: ""Está indeciso, porque Cosme Pérez no quiere representar"" —pero se trata de un error de Cotarelo, pues, como se verá a continuación, esta noticia correspondería realmente a 1644—'), np.str_('Se'), np.str_('papel de ""Bato""—'), np.str_('comedia Un bobo hace ciento, de Solís, en cuya loa alegórica Juan Rana hizo de ""Tiempo"", compartiendo escenario con Bernarda Ramírez, Luisa Romero y Mariana Romero, \'la Patata\' [¿Antonia del Pozo \'la Patata\' o Luciana \'la Patata\'?], Mariana de Borja \'la Borja\' y \'Poca Ropa\''), np.str_('en la que se indica ""La comedia'), np.str_('En la fiesta se'), np.str_('que se'), np.str_(""entremés del mismo Solís titulado Salta en banco, en el que intervino Cosme Pérez junto a Bernarda Ramírez, Bernarda Manuela, Luisa y Mariana Romero, Francisca Bezón 'la Bezona', María de Prado y María de Quiñones,""), np.str_('palacio el baile de Los Juan Ranas para celebrar el primer cumpleaños del príncipe Felipe Próspero, que había nacido el 28 de noviembre de 1657'), np.str_(""Juan Rana'"")]",que se,Persona
